date,val
1996-01-01,1.96795179976541
1997-01-01,1.96604392772731
1998-01-01,1.97156368324896
1999-01-01,2.04737097857814
2000-01-01,2.04581582158106
2001-01-01,2.06310842741979
2002-01-01,2.02761650676987
2003-01-01,2.01802072063909
2004-01-01,1.96991109402612
2005-01-01,1.95101977144314
2006-01-01,1.9636339282616
2007-01-01,1.92950203879142
2008-01-01,1.98295360312559
2009-01-01,2.0209038326636
2010-01-01,2.00634720615881
2011-01-01,1.98998710544242
2012-01-01,2.02113819109749
2013-01-01,1.98215091187476
2014-01-01,2.09062329397905
2015-01-01,2.11769356003026
2016-01-01,2.16304061744731
2017-01-01,2.154298507062
2018-01-01,2.23035600181249
2019-01-01,2.29349556485274
2020-01-01,2.48082193884618
2021-01-01,2.5763599427399
2022-01-01,2.67020556921602
