date,val
2000-01-01,6.08564949035645
2001-01-01,6.29892301559448
2002-01-01,6.35995531082153
2003-01-01,6.3286075592041
2004-01-01,6.2537636756897
2005-01-01,6.17098331451416
2006-01-01,6.16402912139893
2007-01-01,6.24331855773926
2008-01-01,6.43608617782593
2009-01-01,6.73869848251343
2010-01-01,6.6945538520813
2011-01-01,6.49768352508545
2012-01-01,6.25388622283936
2013-01-01,6.22925806045532
2014-01-01,6.12920570373535
2015-01-01,4.93063020706177
2016-01-01,4.78327989578247
2017-01-01,5.09296989440918
2018-01-01,4.89502000808716
2019-01-01,4.95746994018555
2020-01-01,5.39998006820679
2021-01-01,5.42829990386963
